gnd_id,urbanity
8130040,Rural
8115095,Rural
8130175,Rural
8103125,Rural
8118025,Rural
8127190,Rural
8130160,Rural
8112110,Rural
8119100,Rural
8130145,Rural
8124275,Rural
8127175,Rural
8106020,Rural
8127035,Rural
8139040,Rural
8124095,Rural
8124065,Rural
8124120,Rural
8136025,Rural
8103090,Rural
8130030,Rural
8127150,Rural
8139070,Rural
8103005,Rural
8133160,Rural
8142145,Rural
8121060,Rural
8106070,Rural
8115105,Rural
8103155,Rural
8142115,Rural
8130055,Rural
8115040,Rural
8127125,Rural
8106120,Rural
8127280,Rural
8112085,Rural
8106035,Rural
8118005,Rural
8121135,Rural
8124230,Rural
8136130,Rural
8124115,Rural
8112070,Rural
8109025,Rural
8127195,Rural
8106100,Rural
8112105,Rural
8115125,Rural
8115045,Rural
8106060,Rural
8130170,Rural
8130090,Rural
8130100,Rural
8109070,Rural
8127115,Rural
8139025,Rural
8127220,Rural
8127070,Rural
8130270,Rural
8118060,Rural
8130010,Rural
8139060,Rural
8133085,Rural
8118165,Rural
8130025,Rural
8109015,Rural
8136115,Rural
8124180,Rural
8124270,Rural
8124030,Rural
8109030,Rural
8133115,Rural
8118185,Rural
8106155,Rural
8130215,Rural
8109065,Rural
8103075,Rural
8109080,Rural
8112120,Rural
8121115,Rural
8106205,Rural
8119090,Rural
8127335,Rural
8124240,Rural
8127050,Rural
8124070,Rural
8142045,Rural
8130260,Rural
8127230,Rural
8103050,Rural
8127235,Rural
8106085,Rural
8127250,Rural
8121005,Urban
8133110,Urban
8121145,Urban
8121075,Urban
